timestamp(ms);ADC;ADC>ADC;
"1769551387.548";"175";;
"1769551387.55";"175";;
"1769551387.552";"174";;
"1769551387.554";"179";;
"1769551387.556";"172";;
"1769551387.558";"177";;
"1769551387.56";"184";;
"1769551387.562";"175";;
"1769551387.564";"175";;
"1769551387.566";"175";;
"1769551387.568";"176";;
"1769551387.57";"179";;
"1769551387.572";"178";;
"1769551387.574";"177";;
"1769551387.576";"177";;
"1769551387.578";"176";;
"1769551387.58";"175";;
"1769551387.582";"178";;
"1769551387.584";"179";;
"1769551387.586";"172";;
"1769551387.588";"176";;
"1769551387.59";"164";;
"1769551387.592";"179";;
"1769551387.594";"169";;
"1769551387.596";"177";;
"1769551387.598";"175";;
"1769551387.6";"178";;
"1769551387.602";"176";;
"1769551387.604";"175";;
"1769551387.606";"178";;
"1769551387.608";"176";;
"1769551387.61";"176";;
"1769551387.612";"179";;
"1769551387.614";"176";;
"1769551387.616";"179";;
"1769551387.618";"179";;
"1769551387.62";"177";;
"1769551387.622";"174";;
"1769551387.624";"178";;
"1769551387.626";"170";;
"1769551387.628";"163";;
"1769551387.63";"177";;
"1769551387.632";"171";;
"1769551387.634";"176";;
"1769551387.636";"180";;
"1769551387.638";"178";;
"1769551387.64";"172";;
"1769551387.642";"181";;
"1769551387.644";"178";;
"1769551387.646";"173";;
"1769551387.648";"178";;
"1769551387.65";"179";;
"1769551387.652";"176";;
"1769551387.654";"190";;
"1769551387.656";"178";;
"1769551387.658";"178";;
"1769551387.66";"176";;
"1769551387.662";"181";;
"1769551387.664";"178";;
"1769551387.666";"176";;
"1769551387.668";"178";;
"1769551387.67";"174";;
"1769551387.672";"177";;
"1769551387.674";"177";;
"1769551387.676";"174";;
"1769551387.678";"178";;
"1769551387.68";"195";;
"1769551387.682";"178";;
"1769551387.684";"175";;
"1769551387.686";"177";;
"1769551387.688";"175";;
"1769551387.69";"179";;
"1769551387.692";"184";;
"1769551387.694";"177";;
"1769551387.696";"168";;
"1769551387.698";"178";;
"1769551387.7";"176";;
"1769551387.702";"177";;
"1769551387.704";"179";;
"1769551387.706";"178";;
"1769551387.708";"176";;
"1769551387.71";"176";;
"1769551387.712";"172";;
"1769551387.714";"179";;
"1769551387.716";"177";;
"1769551387.718";"178";;
"1769551387.72";"174";;
"1769551387.722";"178";;
"1769551387.724";"173";;
"1769551387.726";"175";;
"1769551387.728";"176";;
"1769551387.73";"180";;
"1769551387.732";"178";;
"1769551387.734";"176";;
"1769551387.736";"179";;
"1769551387.738";"178";;
"1769551387.74";"179";;
"1769551387.742";"175";;
"1769551387.744";"179";;
"1769551387.746";"180";;
"1769551387.748";"178";;
"1769551387.75";"179";;
"1769551387.752";"168";;
"1769551387.754";"187";;
"1769551387.756";"176";;
"1769551387.758";"179";;
"1769551387.76";"179";;
"1769551387.762";"184";;
"1769551387.764";"179";;
"1769551387.766";"175";;
"1769551387.768";"179";;
"1769551387.77";"182";;
"1769551387.772";"174";;
"1769551387.774";"173";;
"1769551387.776";"178";;
"1769551387.778";"176";;
"1769551387.78";"176";;
"1769551387.782";"178";;
"1769551387.784";"180";;
"1769551387.786";"175";;
"1769551387.788";"187";;
"1769551387.79";"179";;
"1769551387.792";"182";;
"1769551387.794";"183";;
"1769551387.796";"176";;
"1769551387.798";"178";;
"1769551387.8";"175";;
"1769551387.802";"178";;
"1769551387.804";"178";;
"1769551387.806";"175";;
"1769551387.808";"180";;
"1769551387.81";"178";;
"1769551387.812";"174";;
"1769551387.814";"177";;
"1769551387.816";"178";;
"1769551387.818";"177";;
"1769551387.82";"176";;
"1769551387.822";"170";;
"1769551387.824";"174";;
"1769551387.826";"181";;
"1769551387.828";"175";;
"1769551387.83";"178";;
"1769551387.832";"179";;
"1769551387.834";"178";;
"1769551387.836";"178";;
"1769551387.838";"170";;
"1769551387.84";"186";;
"1769551387.842";"186";;
"1769551387.844";"179";;
"1769551387.846";"176";;
"1769551387.848";"179";;
"1769551387.85";"179";;
"1769551387.852";"177";;
"1769551387.854";"176";;
"1769551387.856";"181";;
"1769551387.858";"177";;
"1769551387.86";"179";;
"1769551387.862";"176";;
"1769551387.864";"177";;
"1769551387.866";"171";;
"1769551387.868";"178";;
"1769551387.87";"180";;
"1769551387.872";"174";;
"1769551387.874";"176";;
"1769551387.876";"179";;
"1769551387.878";"178";;
"1769551387.88";"177";;
"1769551387.882";"177";;
"1769551387.884";"178";;
"1769551387.886";"172";;
"1769551387.888";"181";;
"1769551387.89";"176";;
"1769551387.892";"180";;
"1769551387.894";"176";;
"1769551387.896";"180";;
"1769551387.898";"175";;
"1769551387.9";"178";;
"1769551387.902";"177";;
"1769551387.904";"174";;
"1769551387.906";"177";;
"1769551387.908";"175";;
"1769551387.91";"176";;
"1769551387.912";"175";;
"1769551387.914";"176";;
"1769551387.916";"186";;
"1769551387.918";"179";;
"1769551387.92";"166";;
"1769551387.922";"176";;
"1769551387.924";"177";;
"1769551387.926";"170";;
"1769551387.928";"179";;
"1769551387.93";"170";;
"1769551387.932";"182";;
"1769551387.934";"178";;
"1769551387.936";"172";;
"1769551387.938";"176";;
"1769551387.94";"178";;
"1769551387.942";"174";;
"1769551387.944";"177";;
"1769551387.946";"177";;
"1769551387.948";"177";;
"1769551387.95";"178";;
"1769551387.952";"173";;
"1769551387.954";"181";;
"1769551387.956";"180";;
"1769551387.958";"185";;
"1769551387.96";"176";;
"1769551387.962";"179";;
"1769551387.964";"179";;
"1769551387.966";"177";;
"1769551387.968";"178";;
"1769551387.97";"177";;
"1769551387.972";"171";;
"1769551387.974";"179";;
"1769551387.976";"173";;
"1769551387.978";"176";;
"1769551387.98";"175";;
"1769551387.982";"177";;
"1769551387.984";"180";;
"1769551387.986";"178";;
"1769551387.988";"176";;
"1769551387.99";"171";;
"1769551387.992";"183";;
"1769551387.994";"177";;
"1769551387.996";"176";;
"1769551387.998";"179";;
"1769551388";"177";;
"1769551388.002";"175";;
"1769551388.004";"176";;
"1769551388.006";"176";;
"1769551388.008";"176";;
"1769551388.01";"179";;
"1769551388.012";"173";;
"1769551388.014";"175";;
"1769551388.016";"177";;
"1769551388.018";"177";;
"1769551388.02";"180";;
"1769551388.022";"176";;
"1769551388.024";"179";;
"1769551388.026";"175";;
"1769551388.028";"178";;
"1769551388.03";"176";;
"1769551388.032";"174";;
"1769551388.034";"174";;
"1769551388.036";"176";;
"1769551388.038";"189";;
"1769551388.04";"171";;
"1769551388.042";"183";;
"1769551388.044";"171";;
"1769551388.046";"179";;
"1769551388.048";"179";;
"1769551388.05";"167";;
"1769551388.052";"177";;
"1769551388.054";"178";;
"1769551388.056";"176";;
"1769551388.058";"184";;
"1769551388.06";"187";;
"1769551388.062";"176";;
"1769551388.064";"179";;
"1769551388.066";"178";;
"1769551388.068";"176";;
"1769551388.07";"175";;
"1769551388.072";"176";;
